STATION,NAME,DATE,TMAX,TMIN,TAVG
USC00041758,"CHULA VISTA, CA US",6/13/1996,72,64,68
USC00041758,"CHULA VISTA, CA US",6/14/1996,72,63,68
USC00041758,"CHULA VISTA, CA US",6/15/1996,72,62,67
USC00041758,"CHULA VISTA, CA US",6/16/1996,71,62,67
USC00041758,"CHULA VISTA, CA US",6/17/1996,76,62,69
USC00041758,"CHULA VISTA, CA US",6/18/1996,74,60,67
USC00041758,"CHULA VISTA, CA US",6/19/1996,71,60,66
USC00041758,"CHULA VISTA, CA US",6/20/1996,70,64,67
USC00041758,"CHULA VISTA, CA US",6/21/1996,70,63,67
USC00041758,"CHULA VISTA, CA US",6/22/1996,70,61,66
USC00041758,"CHULA VISTA, CA US",6/23/1996,69,64,67
USC00041758,"CHULA VISTA, CA US",6/24/1996,71,62,67
USC00041758,"CHULA VISTA, CA US",6/25/1996,71,64,68
USC00041758,"CHULA VISTA, CA US",6/26/1996,70,61,66
USC00041758,"CHULA VISTA, CA US",6/27/1996,72,61,67
USC00041758,"CHULA VISTA, CA US",6/28/1996,82,59,71
USC00041758,"CHULA VISTA, CA US",6/29/1996,85,60,73
USC00041758,"CHULA VISTA, CA US",7/1/1996,85,60,73
USC00041758,"CHULA VISTA, CA US",7/2/1996,77,65,71
USC00041758,"CHULA VISTA, CA US",7/3/1996,76,67,72
USC00041758,"CHULA VISTA, CA US",7/4/1996,76,67,72
USC00041758,"CHULA VISTA, CA US",7/5/1996,77,65,71
USC00041758,"CHULA VISTA, CA US",7/6/1996,76,65,71
USC00041758,"CHULA VISTA, CA US",7/7/1996,76,66,71
USC00041758,"CHULA VISTA, CA US",7/8/1996,71,63,67
USC00041758,"CHULA VISTA, CA US",7/9/1996,72,63,68
USC00041758,"CHULA VISTA, CA US",7/10/1996,75,65,70
USC00041758,"CHULA VISTA, CA US",7/11/1996,77,64,71
USC00041758,"CHULA VISTA, CA US",7/12/1996,75,63,69
USC00041758,"CHULA VISTA, CA US",7/13/1996,74,65,70
USC00041758,"CHULA VISTA, CA US",7/14/1996,63,72,68
USC00041758,"CHULA VISTA, CA US",7/15/1996,72,64,68
USC00041758,"CHULA VISTA, CA US",7/16/1996,73,65,69
USC00041758,"CHULA VISTA, CA US",7/17/1996,75,66,71
USC00041758,"CHULA VISTA, CA US",7/18/1996,75,66,71
USC00041758,"CHULA VISTA, CA US",7/19/1996,73,65,69
USC00041758,"CHULA VISTA, CA US",7/20/1996,73,65,69
USC00041758,"CHULA VISTA, CA US",7/21/1996,74,62,68
USC00041758,"CHULA VISTA, CA US",7/22/1996,79,62,71
USC00041758,"CHULA VISTA, CA US",7/23/1996,78,63,71
USC00041758,"CHULA VISTA, CA US",7/24/1996,75,65,70
USC00041758,"CHULA VISTA, CA US",7/25/1996,73,65,69
USC00041758,"CHULA VISTA, CA US",7/26/1996,77,66,72
USC00041758,"CHULA VISTA, CA US",7/27/1996,77,69,73
USC00041758,"CHULA VISTA, CA US",7/28/1996,80,68,74
USC00041758,"CHULA VISTA, CA US",7/29/1996,83,69,76
USC00041758,"CHULA VISTA, CA US",7/30/1996,84,68,76
USC00041758,"CHULA VISTA, CA US",7/31/1996,81,68,75
USC00041758,"CHULA VISTA, CA US",8/1/1996,81,68,75
USC00041758,"CHULA VISTA, CA US",8/2/1996,79,67,73
USC00041758,"CHULA VISTA, CA US",8/3/1996,75,66,71
USC00041758,"CHULA VISTA, CA US",8/4/1996,73,65,69
USC00041758,"CHULA VISTA, CA US",8/5/1996,73,64,69
USC00041758,"CHULA VISTA, CA US",8/6/1996,76,65,71
USC00041758,"CHULA VISTA, CA US",8/7/1996,76,66,71
USC00041758,"CHULA VISTA, CA US",8/8/1996,76,67,72
USC00041758,"CHULA VISTA, CA US",8/9/1996,76,67,72
USC00041758,"CHULA VISTA, CA US",8/10/1996,74,67,71
USC00041758,"CHULA VISTA, CA US",8/11/1996,77,68,73
USC00041758,"CHULA VISTA, CA US",8/12/1996,82,67,75
USC00041758,"CHULA VISTA, CA US",8/13/1996,78,68,73
USC00041758,"CHULA VISTA, CA US",8/14/1996,83,68,76
USC00041758,"CHULA VISTA, CA US",8/15/1996,83,72,78
USC00041758,"CHULA VISTA, CA US",8/16/1996,79,71,75
USC00041758,"CHULA VISTA, CA US",8/17/1996,78,67,73
USC00041758,"CHULA VISTA, CA US",8/18/1996,77,62,70
USC00041758,"CHULA VISTA, CA US",8/20/1996,76,62,69
USC00041758,"CHULA VISTA, CA US",8/21/1996,77,64,71
USC00041758,"CHULA VISTA, CA US",8/22/1996,77,68,73
USC00041758,"CHULA VISTA, CA US",8/23/1996,81,67,74
USC00041758,"CHULA VISTA, CA US",8/24/1996,83,69,76
USC00041758,"CHULA VISTA, CA US",8/25/1996,80,68,74
USC00041758,"CHULA VISTA, CA US",8/26/1996,80,68,74
USC00041758,"CHULA VISTA, CA US",8/27/1996,78,67,73
USC00041758,"CHULA VISTA, CA US",8/28/1996,78,64,71
USC00041758,"CHULA VISTA, CA US",8/29/1996,84,67,76
USC00041758,"CHULA VISTA, CA US",8/30/1996,82,70,76
USC00041758,"CHULA VISTA, CA US",8/31/1996,82,68,75
USC00041758,"CHULA VISTA, CA US",9/1/1996,78,67,73
USC00041758,"CHULA VISTA, CA US",9/2/1996,76,69,73
USC00041758,"CHULA VISTA, CA US",9/3/1996,77,64,71
USC00041758,"CHULA VISTA, CA US",9/4/1996,78,68,73
USC00041758,"CHULA VISTA, CA US",9/5/1996,75,67,71
USC00041758,"CHULA VISTA, CA US",9/8/1996,82,64,73
USC00041758,"CHULA VISTA, CA US",9/9/1996,82,64,73
USC00041758,"CHULA VISTA, CA US",9/10/1996,83,69,76
USC00041758,"CHULA VISTA, CA US",9/11/1996,80,63,72
USC00041758,"CHULA VISTA, CA US",9/12/1996,78,64,71
USC00041758,"CHULA VISTA, CA US",9/13/1996,74,64,69
USC00041758,"CHULA VISTA, CA US",9/14/1996,75,62,69
USC00041758,"CHULA VISTA, CA US",9/15/1996,74,63,69
USC00041758,"CHULA VISTA, CA US",9/16/1996,74,67,71
USC00041758,"CHULA VISTA, CA US",9/17/1996,75,61,68
USC00041758,"CHULA VISTA, CA US",9/18/1996,75,66,71
USC00041758,"CHULA VISTA, CA US",9/19/1996,74,66,70
USC00041758,"CHULA VISTA, CA US",9/20/1996,77,66,72
USC00041758,"CHULA VISTA, CA US",9/21/1996,74,60,67
USC00041758,"CHULA VISTA, CA US",9/22/1996,72,65,69
USC00041758,"CHULA VISTA, CA US",9/23/1996,75,65,70
USC00041758,"CHULA VISTA, CA US",9/24/1996,76,67,72
USC00041758,"CHULA VISTA, CA US",9/27/1996,77,69,73
USC00041758,"CHULA VISTA, CA US",9/28/1996,77,62,70
USC00041758,"CHULA VISTA, CA US",9/29/1996,79,61,70
USC00041758,"CHULA VISTA, CA US",9/30/1996,72,63,68
USC00041758,"CHULA VISTA, CA US",10/1/1996,72,63,68
USC00041758,"CHULA VISTA, CA US",10/2/1996,74,64,69
USC00041758,"CHULA VISTA, CA US",10/3/1996,76,60,68
USC00041758,"CHULA VISTA, CA US",10/4/1996,72,64,68
USC00041758,"CHULA VISTA, CA US",10/5/1996,69,61,65
USC00041758,"CHULA VISTA, CA US",10/6/1996,72,63,68
USC00041758,"CHULA VISTA, CA US",10/7/1996,77,63,70
USC00041758,"CHULA VISTA, CA US",10/8/1996,77,61,69
USC00041758,"CHULA VISTA, CA US",10/9/1996,77,60,69
USC00041758,"CHULA VISTA, CA US",10/10/1996,77,58,68
USC00041758,"CHULA VISTA, CA US",10/11/1996,78,57,68
USC00041758,"CHULA VISTA, CA US",10/12/1996,76,56,66
USC00041758,"CHULA VISTA, CA US",10/13/1996,76,61,69
USC00041758,"CHULA VISTA, CA US",10/14/1996,70,61,66
USC00041758,"CHULA VISTA, CA US",10/15/1996,71,57,64
USC00041758,"CHULA VISTA, CA US",10/16/1996,71,62,67
USC00041758,"CHULA VISTA, CA US",10/17/1996,72,63,68
USC00041758,"CHULA VISTA, CA US",10/18/1996,71,55,63
USC00041758,"CHULA VISTA, CA US",10/19/1996,69,62,66
USC00041758,"CHULA VISTA, CA US",10/20/1996,70,55,63
USC00041758,"CHULA VISTA, CA US",10/21/1996,77,51,64
USC00041758,"CHULA VISTA, CA US",10/22/1996,77,50,64
USC00041758,"CHULA VISTA, CA US",10/23/1996,75,48,62
USC00041758,"CHULA VISTA, CA US",10/24/1996,77,49,63
USC00041758,"CHULA VISTA, CA US",10/25/1996,71,60,66
USC00041758,"CHULA VISTA, CA US",10/26/1996,66,49,58
USC00041758,"CHULA VISTA, CA US",10/27/1996,71,46,59
USC00041758,"CHULA VISTA, CA US",10/28/1996,68,48,58
USC00041758,"CHULA VISTA, CA US",10/29/1996,71,46,59
USC00041758,"CHULA VISTA, CA US",10/30/1996,70,49,60
USC00041758,"CHULA VISTA, CA US",10/31/1996,72,48,60
USC00041758,"CHULA VISTA, CA US",11/1/1996,76,45,61
USC00041758,"CHULA VISTA, CA US",11/2/1996,68,47,58
USC00041758,"CHULA VISTA, CA US",11/3/1996,68,53,61
USC00041758,"CHULA VISTA, CA US",11/4/1996,69,48,59
USC00041758,"CHULA VISTA, CA US",11/5/1996,66,57,62
USC00041758,"CHULA VISTA, CA US",11/6/1996,72,49,61
USC00041758,"CHULA VISTA, CA US",11/7/1996,83,48,66
USC00041758,"CHULA VISTA, CA US",11/8/1996,88,53,71
USC00041758,"CHULA VISTA, CA US",11/9/1996,92,54,73
USC00041758,"CHULA VISTA, CA US",11/10/1996,92,54,73
USC00041758,"CHULA VISTA, CA US",11/11/1996,80,53,67
USC00041758,"CHULA VISTA, CA US",11/12/1996,78,53,66
USC00041758,"CHULA VISTA, CA US",11/13/1996,68,48,58
USC00041758,"CHULA VISTA, CA US",11/14/1996,65,55,60
USC00041758,"CHULA VISTA, CA US",11/15/1996,63,59,61
USC00041758,"CHULA VISTA, CA US",11/16/1996,66,51,59
USC00041758,"CHULA VISTA, CA US",11/17/1996,69,48,59
USC00041758,"CHULA VISTA, CA US",11/18/1996,70,49,60
USC00041758,"CHULA VISTA, CA US",11/19/1996,65,56,61
USC00041758,"CHULA VISTA, CA US",11/20/1996,72,58,65
USC00041758,"CHULA VISTA, CA US",11/21/1996,70,56,63
USC00041758,"CHULA VISTA, CA US",11/22/1996,68,60,64
USC00041758,"CHULA VISTA, CA US",11/23/1996,68,55,62
USC00041758,"CHULA VISTA, CA US",11/24/1996,76,49,63
USC00041758,"CHULA VISTA, CA US",11/25/1996,73,49,61
USC00041758,"CHULA VISTA, CA US",11/26/1996,72,49,61
USC00041758,"CHULA VISTA, CA US",11/27/1996,72,45,59
USC00041758,"CHULA VISTA, CA US",11/28/1996,74,45,60
USC00041758,"CHULA VISTA, CA US",11/29/1996,65,49,57
USC00041758,"CHULA VISTA, CA US",11/30/1996,66,42,54
USC00041758,"CHULA VISTA, CA US",12/1/1996,67,42,55
USC00041758,"CHULA VISTA, CA US",12/2/1996,72,40,56
USC00041758,"CHULA VISTA, CA US",12/3/1996,70,40,55
USC00041758,"CHULA VISTA, CA US",12/4/1996,68,42,55
USC00041758,"CHULA VISTA, CA US",12/5/1996,68,42,55
USC00041758,"CHULA VISTA, CA US",12/6/1996,63,52,58
USC00041758,"CHULA VISTA, CA US",12/7/1996,69,47,58
USC00041758,"CHULA VISTA, CA US",12/8/1996,72,47,60
USC00041758,"CHULA VISTA, CA US",12/9/1996,64,52,58
USC00041758,"CHULA VISTA, CA US",12/10/1996,66,55,61
USC00041758,"CHULA VISTA, CA US",12/11/1996,64,56,60
USC00041758,"CHULA VISTA, CA US",12/12/1996,71,59,65
USC00041758,"CHULA VISTA, CA US",12/13/1996,64,52,58
USC00041758,"CHULA VISTA, CA US",12/14/1996,71,52,62
USC00041758,"CHULA VISTA, CA US",12/15/1996,76,45,61
USC00041758,"CHULA VISTA, CA US",12/16/1996,73,42,58
USC00041758,"CHULA VISTA, CA US",12/17/1996,79,45,62
USC00041758,"CHULA VISTA, CA US",12/18/1996,72,46,59
USC00041758,"CHULA VISTA, CA US",12/19/1996,73,42,58
USC00041758,"CHULA VISTA, CA US",12/20/1996,67,42,55
USC00041758,"CHULA VISTA, CA US",12/21/1996,63,42,53
USC00041758,"CHULA VISTA, CA US",12/22/1996,64,43,54
USC00041758,"CHULA VISTA, CA US",12/23/1996,66,49,58
USC00041758,"CHULA VISTA, CA US",12/24/1996,72,44,58
USC00041758,"CHULA VISTA, CA US",12/25/1996,71,42,57
USC00041758,"CHULA VISTA, CA US",12/26/1996,64,44,54
USC00041758,"CHULA VISTA, CA US",12/27/1996,66,53,60
USC00041758,"CHULA VISTA, CA US",12/28/1996,67,56,62
USC00041758,"CHULA VISTA, CA US",12/29/1996,67,54,61
USC00041758,"CHULA VISTA, CA US",12/30/1996,67,51,59
USC00041758,"CHULA VISTA, CA US",12/31/1996,67,56,62
USC00041758,"CHULA VISTA, CA US",1/2/1997,73,54,64
USC00041758,"CHULA VISTA, CA US",1/3/1997,66,54,60
USC00041758,"CHULA VISTA, CA US",1/4/1997,63,51,57
USC00041758,"CHULA VISTA, CA US",1/5/1997,61,54,58
USC00041758,"CHULA VISTA, CA US",1/6/1997,63,44,54
USC00041758,"CHULA VISTA, CA US",1/7/1997,66,36,51
USC00041758,"CHULA VISTA, CA US",1/8/1997,66,37,52
USC00041758,"CHULA VISTA, CA US",1/9/1997,64,41,53
USC00041758,"CHULA VISTA, CA US",1/10/1997,63,42,53
USC00041758,"CHULA VISTA, CA US",1/11/1997,63,53,58
USC00041758,"CHULA VISTA, CA US",1/12/1997,58,51,55
USC00041758,"CHULA VISTA, CA US",1/13/1997,59,51,55
USC00041758,"CHULA VISTA, CA US",1/14/1997,59,51,55
USC00041758,"CHULA VISTA, CA US",1/15/1997,65,48,57
USC00041758,"CHULA VISTA, CA US",1/16/1997,66,46,56
USC00041758,"CHULA VISTA, CA US",1/17/1997,71,43,57
USC00041758,"CHULA VISTA, CA US",1/18/1997,79,44,62
USC00041758,"CHULA VISTA, CA US",1/19/1997,75,45,60
USC00041758,"CHULA VISTA, CA US",1/20/1997,65,45,55
USC00041758,"CHULA VISTA, CA US",1/21/1997,63,46,55
USC00041758,"CHULA VISTA, CA US",1/22/1997,64,49,57
USC00041758,"CHULA VISTA, CA US",1/23/1997,63,55,59
USC00041758,"CHULA VISTA, CA US",1/24/1997,66,52,59
USC00041758,"CHULA VISTA, CA US",1/25/1997,66,49,58
USC00041758,"CHULA VISTA, CA US",1/26/1997,68,59,64
USC00041758,"CHULA VISTA, CA US",1/27/1997,70,59,65
USC00041758,"CHULA VISTA, CA US",1/28/1997,72,51,62
USC00041758,"CHULA VISTA, CA US",1/29/1997,83,52,68
USC00041758,"CHULA VISTA, CA US",1/30/1997,83,52,68
USC00041758,"CHULA VISTA, CA US",1/31/1997,78,51,65
USC00041758,"CHULA VISTA, CA US",2/1/1997,69,47,58
USC00041758,"CHULA VISTA, CA US",2/2/1997,68,47,58
USC00041758,"CHULA VISTA, CA US",2/3/1997,73,46,60
USC00041758,"CHULA VISTA, CA US",2/4/1997,69,49,59
USC00041758,"CHULA VISTA, CA US",2/5/1997,65,50,58
USC00041758,"CHULA VISTA, CA US",2/6/1997,71,47,59
USC00041758,"CHULA VISTA, CA US",2/7/1997,71,44,58
USC00041758,"CHULA VISTA, CA US",2/8/1997,66,43,55
USC00041758,"CHULA VISTA, CA US",2/9/1997,65,45,55
USC00041758,"CHULA VISTA, CA US",2/10/1997,65,45,55
USC00041758,"CHULA VISTA, CA US",2/11/1997,64,50,57
USC00041758,"CHULA VISTA, CA US",2/12/1997,63,49,56
USC00041758,"CHULA VISTA, CA US",2/13/1997,76,46,61
USC00041758,"CHULA VISTA, CA US",2/14/1997,76,46,61
USC00041758,"CHULA VISTA, CA US",2/15/1997,85,46,66
USC00041758,"CHULA VISTA, CA US",2/16/1997,77,56,67
USC00041758,"CHULA VISTA, CA US",2/17/1997,66,46,56
USC00041758,"CHULA VISTA, CA US",2/18/1997,65,50,58
USC00041758,"CHULA VISTA, CA US",2/19/1997,73,46,60
USC00041758,"CHULA VISTA, CA US",2/20/1997,68,47,58
USC00041758,"CHULA VISTA, CA US",2/21/1997,78,47,63
USC00041758,"CHULA VISTA, CA US",2/22/1997,70,45,58
USC00041758,"CHULA VISTA, CA US",2/23/1997,64,59,62
USC00041758,"CHULA VISTA, CA US",2/24/1997,64,46,55
USC00041758,"CHULA VISTA, CA US",2/25/1997,67,49,58
USC00041758,"CHULA VISTA, CA US",2/26/1997,69,42,56
USC00041758,"CHULA VISTA, CA US",2/27/1997,60,49,55
USC00041758,"CHULA VISTA, CA US",2/28/1997,64,50,57
USC00041758,"CHULA VISTA, CA US",3/1/1997,67,40,54
USC00041758,"CHULA VISTA, CA US",3/3/1997,65,41,53
USC00041758,"CHULA VISTA, CA US",3/4/1997,69,49,59
USC00041758,"CHULA VISTA, CA US",3/5/1997,79,48,64
USC00041758,"CHULA VISTA, CA US",3/6/1997,77,49,63
USC00041758,"CHULA VISTA, CA US",3/7/1997,71,44,58
USC00041758,"CHULA VISTA, CA US",3/8/1997,65,47,56
USC00041758,"CHULA VISTA, CA US",3/9/1997,75,47,61
USC00041758,"CHULA VISTA, CA US",3/10/1997,88,50,69
USC00041758,"CHULA VISTA, CA US",3/11/1997,86,52,69
USC00041758,"CHULA VISTA, CA US",3/12/1997,86,54,70
USC00041758,"CHULA VISTA, CA US",3/13/1997,86,63,75
USC00041758,"CHULA VISTA, CA US",3/15/1997,65,59,62
USC00041758,"CHULA VISTA, CA US",3/16/1997,66,58,62
USC00041758,"CHULA VISTA, CA US",3/17/1997,69,52,61
USC00041758,"CHULA VISTA, CA US",3/18/1997,79,58,69
USC00041758,"CHULA VISTA, CA US",3/19/1997,93,51,72
USC00041758,"CHULA VISTA, CA US",3/20/1997,86,51,69
USC00041758,"CHULA VISTA, CA US",3/21/1997,80,49,65
USC00041758,"CHULA VISTA, CA US",3/24/1997,69,57,63
USC00041758,"CHULA VISTA, CA US",3/25/1997,76,55,66
USC00041758,"CHULA VISTA, CA US",3/26/1997,72,62,67
USC00041758,"CHULA VISTA, CA US",3/27/1997,67,59,63
USC00041758,"CHULA VISTA, CA US",3/28/1997,67,59,63
USC00041758,"CHULA VISTA, CA US",3/29/1997,68,55,62
USC00041758,"CHULA VISTA, CA US",3/30/1997,64,60,62
USC00041758,"CHULA VISTA, CA US",3/31/1997,69,56,63
USC00041758,"CHULA VISTA, CA US",4/1/1997,67,51,59
USC00041758,"CHULA VISTA, CA US",4/2/1997,67,46,57
USC00041758,"CHULA VISTA, CA US",4/3/1997,65,42,54
USC00041758,"CHULA VISTA, CA US",4/4/1997,65,47,56
USC00041758,"CHULA VISTA, CA US",4/5/1997,65,56,61
USC00041758,"CHULA VISTA, CA US",4/6/1997,68,58,63
USC00041758,"CHULA VISTA, CA US",4/7/1997,69,50,60
USC00041758,"CHULA VISTA, CA US",4/8/1997,68,52,60
USC00041758,"CHULA VISTA, CA US",4/9/1997,67,58,63
USC00041758,"CHULA VISTA, CA US",4/10/1997,67,51,59
USC00041758,"CHULA VISTA, CA US",4/11/1997,66,51,59
USC00041758,"CHULA VISTA, CA US",4/12/1997,69,50,60
USC00041758,"CHULA VISTA, CA US",4/13/1997,78,50,64
USC00041758,"CHULA VISTA, CA US",4/14/1997,71,53,62
USC00041758,"CHULA VISTA, CA US",4/15/1997,75,53,64
USC00041758,"CHULA VISTA, CA US",4/16/1997,73,55,64
USC00041758,"CHULA VISTA, CA US",4/17/1997,69,58,64
USC00041758,"CHULA VISTA, CA US",4/18/1997,68,59,64
USC00041758,"CHULA VISTA, CA US",4/19/1997,67,61,64
USC00041758,"CHULA VISTA, CA US",4/20/1997,81,68,75
USC00041758,"CHULA VISTA, CA US",4/21/1997,81,65,73
USC00041758,"CHULA VISTA, CA US",4/22/1997,76,64,70
USC00041758,"CHULA VISTA, CA US",4/23/1997,74,61,68
USC00041758,"CHULA VISTA, CA US",4/24/1997,74,58,66
USC00041758,"CHULA VISTA, CA US",4/25/1997,76,53,65
USC00041758,"CHULA VISTA, CA US",4/26/1997,81,57,69
USC00041758,"CHULA VISTA, CA US",4/27/1997,78,55,67
USC00041758,"CHULA VISTA, CA US",4/28/1997,68,59,64
USC00041758,"CHULA VISTA, CA US",4/29/1997,68,59,64
USC00041758,"CHULA VISTA, CA US",4/30/1997,70,62,66
USC00041758,"CHULA VISTA, CA US",5/1/1997,71,61,66
USC00041758,"CHULA VISTA, CA US",5/2/1997,74,65,70
USC00041758,"CHULA VISTA, CA US",5/3/1997,76,58,67
USC00041758,"CHULA VISTA, CA US",5/4/1997,79,58,69
USC00041758,"CHULA VISTA, CA US",5/5/1997,78,55,67
USC00041758,"CHULA VISTA, CA US",5/6/1997,79,55,67
USC00041758,"CHULA VISTA, CA US",5/7/1997,76,58,67
USC00041758,"CHULA VISTA, CA US",5/8/1997,74,63,69
USC00041758,"CHULA VISTA, CA US",5/9/1997,71,61,66
USC00041758,"CHULA VISTA, CA US",5/10/1997,71,63,67
USC00041758,"CHULA VISTA, CA US",5/11/1997,70,62,66
USC00041758,"CHULA VISTA, CA US",5/12/1997,71,63,67
USC00041758,"CHULA VISTA, CA US",5/13/1997,71,64,68
USC00041758,"CHULA VISTA, CA US",5/14/1997,72,62,67
USC00041758,"CHULA VISTA, CA US",5/15/1997,77,64,71
USC00041758,"CHULA VISTA, CA US",5/16/1997,73,64,69
USC00041758,"CHULA VISTA, CA US",5/17/1997,73,64,69
USC00041758,"CHULA VISTA, CA US",5/18/1997,72,65,69
USC00041758,"CHULA VISTA, CA US",5/19/1997,70,65,68
USC00041758,"CHULA VISTA, CA US",5/20/1997,72,59,66
USC00041758,"CHULA VISTA, CA US",5/21/1997,76,65,71
USC00041758,"CHULA VISTA, CA US",5/22/1997,72,65,69
USC00041758,"CHULA VISTA, CA US",5/23/1997,74,62,68
USC00041758,"CHULA VISTA, CA US",5/24/1997,73,64,69
USC00041758,"CHULA VISTA, CA US",5/25/1997,72,64,68
USC00041758,"CHULA VISTA, CA US",5/26/1997,74,59,67
USC00041758,"CHULA VISTA, CA US",5/27/1997,80,61,71
USC00041758,"CHULA VISTA, CA US",5/28/1997,89,62,76
USC00041758,"CHULA VISTA, CA US",5/29/1997,80,64,72
USC00041758,"CHULA VISTA, CA US",5/30/1997,78,64,71
USC00041758,"CHULA VISTA, CA US",5/31/1997,76,64,70
USC00041758,"CHULA VISTA, CA US",6/1/1997,77,66,72
USC00041758,"CHULA VISTA, CA US",6/2/1997,76,65,71
USC00041758,"CHULA VISTA, CA US",6/3/1997,73,66,70
USC00041758,"CHULA VISTA, CA US",6/4/1997,75,63,69
USC00041758,"CHULA VISTA, CA US",6/5/1997,74,65,70
USC00041758,"CHULA VISTA, CA US",6/6/1997,72,63,68
USC00041758,"CHULA VISTA, CA US",6/7/1997,72,64,68
